python-psutil 5.8.0-1
python-ptyprocess 0.7.0-1
python-pycparser 2.20-3
python-pynvim 0.4.3-1
python-pyopenssl 20.0.1-1
python-pyparsing 2.4.7-3
python-pyqt5 5.15.4-1
python-pyqt5-sip 12.9.0-1
python-pysmbc 1.0.23-2
python-pyxdg 0.27-1
python-reportlab 3.5.67-1
python-requests 2.25.1-1
python-resolvelib 0.5.4-1
python-retrying 1.3.3-9
python-setuptools 1:56.2.0-1
python-six 1.16.0-1
python-soupsieve 2.2.1-1
python-toml 0.10.2-3
python-urllib3 1.26.5-1
python-webencodings 0.5.1-6
python-yaml 5.4.1.1-2
python2 2.7.18-3
qpdf 10.3.2-1
qpdfview 0.4.18-2
qrencode 4.1.1-1
qt5-base 5.15.2+kde+r196-1
qt5-declarative 5.15.2+kde+r26-1
qt5-graphicaleffects 5.15.2-1
qt5-location 5.15.2-3
qt5-multimedia 5.15.2-1
qt5-quickcontrols 5.15.2-1
qt5-quickcontrols2 5.15.2-1
qt5-styleplugins 5.0.0.20170311-25
qt5-svg 5.15.2+kde+r7-1
qt5-translations 5.15.2-1
qt5-webchannel 5.15.2-1
qt5-webengine 5.15.3-5
qt5-websockets 5.15.2-1
qt5-x11extras 5.15.2-1
qt5ct 1.2-1
qtkeychain-qt5 0.12.0-1
ranger 1.9.3.143.g5047d9e5-1
raptor 2.0.15-16
rav1e 0.4.1-1
rbenv 1.1.2-1
re2 1:20210401-1
readline 8.1.001-1
reiserfsprogs 3.6.27-3
rest 0.8.1-3
rhash 1.4.1-1
ripgrep 12.1.1-1
rpcbind 1.2.5-3
rsync 3.2.3-3
rtkit 0.13-1
rtmpdump 1:2.4.r96.fa8646d-6
rubberband 1.9.1-1
ruby 3.0.1-1
ruby-docs 3.0.1-1
ruby-irb 1.3.5-1
ruby-reline 0.2.5-1
rubygems 3.2.15-1
run-parts 4.11.2-1
rust 1:1.52.1-1
s-nail 14.9.22-1
samba 4.14.4-1
sane 1.0.32-3
sbc 1.5-2
screenfetch 3.9.1-1
sdl2 2.0.14-1
sed 4.8-1
semver 7.3.5-2
serd 0.30.10-1
shaderc 2021.0-1
shadow 4.8.1-4
shared-mime-info 2.0+57+gc1d1c70-1
slang 2.3.2-2
smbclient 4.14.4-1
